INSTNM,WEAPON,DRUG,LIQUOR,MURD,FORCIB,NONFOR,ROBBE,AGG_A,BURGLA,VEHIC,ARSON,BURGLA_RAC,SIM_A,SIM_A_RAC,SIM_A_SEX,LAR_T,LAR_T_RAC,INTIM,INTIM_RAC,INTIM_REL,INTIM_SEX,INTIM_GEN,INTIM_ETH,VANDAL,VANDAL_RAC,VANDAL_REL,VANDAL_SEX,VANDAL_GEN,VANDAL_ETH,RAPE,FONDL,STATR,confidence_score
University of Cincinnati-Main Campus,22.18529888,53.432524,53.38377873,100,1.032686961,100,65.03540921,43.57179111,14.59344489,40.80620041,49.46973647,100,97.19426152,4.797196692,162.4800453,100,100,0.009520188,37.18199217,100,64.09662441,1.151131884,45.18427505,26.58190895,61.8563481,38.06528385,46.16573811,119.1460755,52.82555268,45.06845627,42.34475547,100,58.98937615
University of Utah,67.37521172,35.62183319,52.07134288,54.40277848,39.31606949,100,85.28072718,34.10311271,38.62345546,192.5926208,33.11452045,100,57.00839445,100,43.06246141,100,100,10.80293502,50.15343372,82.83072686,17.41293201,7.753428383,100,35.97457479,37.63040475,24.74872015,41.31620934,100,100,27.60785977,9.478863585,100,61.82133177
University of Virginia-Main Campus,38.3134515,68.09437872,0.654683423,100,133.1402762,100,39.87125299,30.47041062,16.40234734,21.24560082,63.83726732,100,12.89999879,36.26659689,87.84773809,73.17213355,100,43.14659337,1.823672316,20.03267019,156.9478334,100,100,26.44015566,100,100,54.10915246,100,100,54.9032772,19.79241264,100,65.60662198
University of Arizona,82.95699968,23.88337599,3.445684377,137.2326961,36.97799145,100,59.79470423,15.02441465,31.37037245,35.89209135,30.48153127,100,0.918092989,139.1772263,100,100,100,6.592225076,14.88040006,180.9109181,39.8668282,17.22093159,100,4.520347124,27.77064746,42.18995222,32.37631144,100,283.9423897,14.1765738,54.83271808,100,66.13860699
University of Georgia,1.09476102,66.92338783,42.61007914,100,30.95523793,100,38.83614643,47.60997785,13.83452698,19.7593675,40.13435509,100,23.43763079,7.591730599,27.38767081,100,100,47.05060415,33.15522284,100,100,100,100,99.53644012,159.1680199,34.01258683,161.2701939,100,100,26.78569754,25.98460151,100,67.09806996
University of Minnesota-Twin Cities,74.47186583,24.57668154,6.748778297,100,5.197360071,100,39.96945878,47.48768845,52.71193554,34.65863657,59.11224672,100,21.15642262,26.88215048,100,100,100,75.76575756,100,100,28.22431673,100,100,75.53789134,100,53.99815049,64.12602003,100,100,49.18981826,14.48407184,100,67.3218516
Florida State University,65.71058695,41.61404525,49.16850735,100,53.10277524,100,3.640891164,29.06755709,12.15560811,61.63630373,48.98839602,100,33.55120635,19.79848471,100,103.845518,100,69.36333506,100,29.35317787,9.261964156,100,100,62.89032289,100,74.46510904,100,100,100,5.674759776,93.73285197,100,67.71941877
Louisiana State University and Agricultural & Mechanical College,15.94061037,58.17905464,81.14099708,100,61.47162149,160.4740333,30.83424121,21.03163988,5.792655019,17.89479771,38.68580479,100,10.66934682,100,48.63207548,100,100,17.62699848,55.36148047,5.025713502,59.33867487,100,100,83.37049472,100,21.8190866,100,100,100,60.07345758,76.83053235,145.8680127,68.00191653
North Carolina State University at Raleigh,18.04426393,42.83250349,42.36392312,100,51.22013999,100,2.71065702,31.49976998,39.62212646,1.719815604,56.39594096,100,20.58977816,100,32.12604708,100,100,90.84684527,76.98197802,100,100,100,100,92.60862505,100,100,72.90114678,100,100,6.728794423,6.379862558,100,68.29913181
University of Kansas,64.36574786,7.844061825,57.6586009,100,30.95656085,100,19.98691514,53.14093359,1.279266304,36.71127618,37.33000311,100,2.172180452,100,225.5400323,100,100,66.17186749,71.64341254,100,10.94190771,100,100,63.57737945,100,14.3824878,100,100,100,8.483875441,19.94677571,100,68.50416514
